Serial_Number,Location name,ESMI_ID,From date,To date,District,State,Category,Connection Type,Lat,Lon,Duplicates_ESMI_Scrapping,
310,Mohipura Farm,,11/11/2015,10/28/2016,Barwani,Madhya Pradesh,Gram Panchayat,Agriculture,22.06838831,75.11096222,,Offline
311,Mohol,,10/29/2014,12/31/2018,Solapur,Maharashtra,Gram Panchayat,Domestic,17.80872823,75.63894889,,
312,Moth,,12/30/2016,10/27/2018,Jhansi,Uttar Pradesh,Gram Panchayat,Domestic,25.73128313,78.95116389,,Offline
313,Mudur ,,1/9/2015,5/19/2018,Udupi,Karnataka,Gram Panchayat,Domestic,13.80759804,74.87390303,,Offline
314,Mughalsarai ,,8/31/2015,8/2/2016,Chandauli,Uttar Pradesh,District Headquarters,Domestic,25.28150515,83.11870732,,Offline
315,Mukimpur,,8/12/2016,3/12/2018,Sitapur,Uttar Pradesh,Gram Panchayat,Domestic,27.25075327,80.85519513,,Offline
316,Mukundapur Kolkata,,4/5/2018,12/31/2018,Kolkata,West Bengal,State Capital,Domestic,22.49347437,88.41301567,,
317,Muradpur ,,10/12/2017,11/15/2018,Sitapur,Uttar Pradesh,Gram Panchayat,Domestic,27.60418434,80.62787822,,
318,Nai Basti Bahraich,,11/14/2017,12/31/2018,Bahraich,Uttar Pradesh,District Headquarters,Domestic,28.2812349,81.1272525,,
319,Naipura,,12/16/2017,9/4/2018,Barabanki,Uttar Pradesh,Gram Panchayat,Domestic,26.93846546,81.19729659,,
320,Nakre,,1/7/2015,4/19/2018,Udupi,Karnataka,Gram Panchayat,Domestic,13.33138499,74.74803419,,
321,Nandamuri Nagar,,3/1/2015,10/17/2017,Anantapur,Andhra Pradesh,District Headquarters,Non Domestic,14.67885861,77.56547934,,Offline
322,Nanegaon,,11/9/2014,11/30/2017,Pune,Maharashtra,Gram Panchayat,Agriculture,18.55094818,73.58012998,,
323,Narapally ,,1/18/2016,3/11/2017,Hyderabad,Telangana,State Capital,Domestic,17.4292017,78.62330504,,
324,Navalpura ,,9/15/2015,12/26/2018,Barwani,Madhya Pradesh,Other Municipal Area,Domestic,22.0382913,74.90196945,,
325,Nazirpura,,1/5/2018,12/31/2018,Bahraich,Uttar Pradesh,District Headquarters,Domestic,27.57041911,81.5851872,,
326,Nehru Nagar,,8/31/2015,11/20/2015,Chandauli,Uttar Pradesh,Other Municipal Area,Domestic,25.26237322,83.26196884,,Offline
327,Nerul,,2/17/2016,7/8/2018,North Goa,Goa,Gram Panchayat,Domestic,15.5095113,73.79150573,,
328,Netaji Nagar,,2/15/2016,12/31/2018,Chennai,Tamil Nadu,State Capital,Domestic,13.13121087,80.27937941,,
329,Nildoh,,10/13/2015,7/31/2016,Nagpur,Maharashtra,District Headquarters,Domestic,21.10965634,78.98795427,,Offline
330,Nilje,,12/16/2015,6/8/2018,Dombivali,Maharashtra,Other Municipal Area,Domestic,19.15801697,73.08715902,,
331,Nimgaon Ketki ,,10/30/2014,3/8/2016,Pune,Maharashtra,Gram Panchayat,Domestic,18.08430183,74.91632929,,Offline
332,Nippani,,6/27/2016,12/31/2018,Belgaum,Karnataka,Other Municipal Area,Non Domestic,16.41293923,74.38038666,,
333,Nurwaf Mohalla Tikaitnagar,,1/26/2018,12/31/2018,Barabanki,Uttar Pradesh,Other Municipal Area,Domestic,26.93900101,81.19437835,,
334,Nyas Colony Hoshangabad,,4/2/2017,12/31/2018,Hoshangabad,Madhya Pradesh,District Headquarters,Domestic,22.6201312,77.76999589,,
335,Okni,,3/29/2018,12/30/2018,Hazaribagh,Jharkhand,District Headquarters,Domestic,24.00030834,85.35222013,,
336,Om Shanti Nagar Jhansi,,1/3/2017,12/31/2018,Jhansi,Uttar Pradesh,District Headquarters,Domestic,25.4612246,78.58916695,,
337,Oriya,,5/21/2017,3/29/2018,Hazaribagh,Jharkhand,Gram Panchayat,Domestic,23.98303467,85.40358393,,
338,Ozar,,5/13/2018,7/15/2018,Nashik,Maharashtra,Gram Panchayat,Non Domestic,20.10242343,73.93613737,,
339,Pabal,,10/30/2014,12/31/2018,Pune,Maharashtra,Gram Panchayat,Domestic,18.83120008,74.05244874,,
340,Pachmori,,11/5/2014,6/2/2018,Akola,Maharashtra,Gram Panchayat,Non Domestic,20.70168093,77.02543736,,
341,Pahadpur,,2/20/2018,10/18/2018,Sitapur,Uttar Pradesh,Gram Panchayat,Domestic,27.49269748,80.73719433,,
342,Paigwa,764,12/20/2017,12/31/2018,Barabanki,Uttar Pradesh,Gram Panchayat,Domestic,27.09285987,81.21678566,Y,
343,Paisar Barabanki,,12/18/2017,12/31/2018,Barabanki,Uttar Pradesh,District Headquarters,Domestic,26.92593986,81.20634685,,
344,Palghar Town,,8/1/2016,12/31/2018,Palghar,Maharashtra,District Headquarters,Non Domestic,19.69424812,72.7650437,,
345,Palhari Barabanki,,12/27/2017,12/31/2018,Barabanki,Uttar Pradesh,District Headquarters,Domestic,26.9202864,81.22103776,,
346,Panchavati,,6/12/2016,6/12/2017,Udaipur,Rajasthan,District Headquarters,Non Domestic,24.60282837,73.6885581,,Offline
347,Pandeypur,,8/31/2015,2/9/2018,Varanasi,Uttar Pradesh,District Headquarters,Domestic,25.35779612,82.99710418,,Offline
348,Panki CF,,12/16/2014,11/14/2017,Kanpur,Uttar Pradesh,District Headquarters,Non Domestic,26.48198323,80.2442303,,Offline
349,Panki,,12/16/2014,10/23/2017,Kanpur,Uttar Pradesh,District Headquarters,Non Domestic,26.48198323,80.2442303,,Offline
350,Parai,,6/12/2016,5/10/2017,Udaipur,Rajasthan,Gram Panchayat,Non Domestic,24.18693586,73.68898834,,
351,Patan,,2/14/2018,4/9/2018,Palamu,Jharkhand,Other Municipal Area,Domestic,24.20221298,84.17861747,,
352,Patel Nagar Fatehpur ,,1/3/2017,2/17/2018,Fatehpur,Uttar Pradesh,District Headquarters,Domestic,25.92136536,80.81954853,,Offline
353,Patharikuppam,,4/28/2018,12/31/2018,Cuddalore,Tamil Nadu,Gram Panchayat,Domestic,11.74811899,79.73552234,,
354,Pathauli,,12/28/2016,12/31/2018,Agra,Uttar Pradesh,Gram Panchayat,Domestic,27.16058568,77.93391097,,
355,Patrakar Colony,,9/5/2015,12/31/2018,Dhule,Maharashtra,District Headquarters,Domestic,20.9022309,74.76387223,,
356,Paud,,10/28/2014,12/31/2018,Pune,Maharashtra,Gram Panchayat,Domestic,18.52445709,73.6126899,,
357,PEG (Kothrud),137,10/22/2014,12/31/2018,Pune,Maharashtra,District Headquarters,Non Domestic,18.52307392,73.85294087,Y,
358,Periyar Street Chidambaram,,4/30/2018,12/31/2018,Cuddalore,Tamil Nadu,Other Municipal Area,Domestic,11.40091365,79.68546278,,
359,Pichhodi ,,9/14/2015,9/3/2017,Barwani,Madhya Pradesh,Gram Panchayat,Agriculture,21.69356496,74.95438324,,Offline
360,Pimplekhuta ,,11/24/2014,5/10/2016,Akola,Maharashtra,Gram Panchayat,Non Domestic,19.72685999,77.19559707,,Offline
361,Pimpri-Chinchwad,,10/29/2014,12/31/2018,Pune,Maharashtra,Other Municipal Area,Non Domestic,18.6406603,73.79110991,,
362,Pitampura,,6/6/2015,9/28/2018,North West Delhi,Delhi,State Capital,Domestic,28.70367187,77.12672014,,
363,Prem Nagar Jhansi,,1/4/2017,3/12/2018,Jhansi,Uttar Pradesh,District Headquarters,Domestic,25.4233168,78.53392789,,
364,Prithvi Avenue,439,5/20/2016,12/31/2018,Chennai,Tamil Nadu,State Capital,Domestic,13.03043473,80.25414722,Y,
365,Professor Colony,,9/5/2015,5/23/2018,Dhule,Maharashtra,District Headquarters,Domestic,20.91335246,74.77244767,,
366,Puraini,,11/7/2017,10/11/2018,Bahraich,Uttar Pradesh,Gram Panchayat,Domestic,27.2864325,81.58837827,,
367,Purnanagar,,9/18/2017,10/2/2018,Giridih,Jharkhand,Gram Panchayat,Domestic,24.12235072,86.31089342,,Offline
368,Puthagaram Chennai,,4/11/2018,12/5/2018,Thiruvallur,Tamil Nadu,State Capital,Domestic,13.12051966,80.18972049,,
369,PWD Guest house road Gairsain,,11/24/2016,12/31/2018,Chamoli,Uttarakhand,District Headquarters,Domestic,30.05185878,79.28891312,,
370,Qazipura,,12/8/2017,2/23/2018,Bahraich,Uttar Pradesh,District Headquarters,Domestic,27.57594162,81.5895957,,Offline
